Entity,Code,Year,Annual CO₂ emissions (per capita)
Canada,CAN,1790,0.00448715
Canada,CAN,1800,0.007328
Canada,CAN,1801,0.0071507194
Canada,CAN,1802,0.0069777183
Canada,CAN,1803,0.006808903
Canada,CAN,1804,0.006644181
Canada,CAN,1805,0.006483441
Canada,CAN,1806,0.0063265893
Canada,CAN,1807,0.006173526
Canada,CAN,1808,0.006024176
Canada,CAN,1809,0.005878427
Canada,CAN,1810,0.005732775
Canada,CAN,1811,0.0055940812
Canada,CAN,1812,0.0054587494
Canada,CAN,1813,0.005326681
Canada,CAN,1814,0.0051978193
Canada,CAN,1815,0.0050720666
Canada,CAN,1816,0.0049493583
Canada,CAN,1817,0.004829619
Canada,CAN,1818,0.0047127767
Canada,CAN,1819,0.0045876615
Canada,CAN,1820,0.004455307
Canada,CAN,1821,0.0043168045
Canada,CAN,1822,0.0041732965
Canada,CAN,1823,0.0040259357
Canada,CAN,1824,0.0038837793
Canada,CAN,1825,0.0037466397
Canada,CAN,1826,0.003614346
Canada,CAN,1827,0.003486721
Canada,CAN,1828,0.0033636033
Canada,CAN,1829,0.0032439104
Canada,CAN,1830,0.0031276222
Canada,CAN,1831,0.0030147023
Canada,CAN,1832,0.0029051213
Canada,CAN,1833,0.0027988374
Canada,CAN,1834,0.0026964413
Canada,CAN,1835,0.0025977911
Canada,CAN,1836,0.0025027494
Canada,CAN,1837,0.0024111862
Canada,CAN,1838,0.0023229716
Canada,CAN,1839,0.0022375667
Canada,CAN,1840,0.0021549126
Canada,CAN,1841,0.0020749497
Canada,CAN,1842,0.0019976208
Canada,CAN,1843,0.001922864
Canada,CAN,1844,0.0018509051
Canada,CAN,1845,0.0017816393
Canada,CAN,1846,0.012004754
Canada,CAN,1847,0.014857079
Canada,CAN,1848,0.017479105
Canada,CAN,1849,0.019917024
Canada,CAN,1850,0.023672614
Canada,CAN,1851,0.027198797
Canada,CAN,1852,0.03190351
Canada,CAN,1853,0.037688646
Canada,CAN,1854,0.044409256
Canada,CAN,1855,0.05196615
Canada,CAN,1856,0.060266335
Canada,CAN,1857,0.07041626
Canada,CAN,1858,0.08338649
Canada,CAN,1859,0.0970362
Canada,CAN,1860,0.11476422
Canada,CAN,1861,0.13540761
Canada,CAN,1862,0.16329855
Canada,CAN,1863,0.20264763
Canada,CAN,1864,0.24005882
Canada,CAN,1865,0.28693542
Canada,CAN,1866,0.34601
Canada,CAN,1867,0.43906397
Canada,CAN,1868,0.2575183
Canada,CAN,1869,0.18445463
Canada,CAN,1870,0.32536218
Canada,CAN,1871,0.46724626
Canada,CAN,1872,0.47791365
Canada,CAN,1873,0.41031522
Canada,CAN,1874,0.408123
Canada,CAN,1875,0.4649344
Canada,CAN,1876,0.45379946
Canada,CAN,1877,0.48700067
Canada,CAN,1878,0.45915452
Canada,CAN,1879,0.5112118
Canada,CAN,1880,1.208935
Canada,CAN,1881,1.2759558
Canada,CAN,1882,1.4924102
Canada,CAN,1883,1.6573254
Canada,CAN,1884,1.8968037
Canada,CAN,1885,1.7982968
Canada,CAN,1886,1.8977568
