Entity,Code,Year,"GDP per capita, PPP (constant 2021 international $)",World regions according to OWID,time,time
Afghanistan,,,1983.8126,,,2023
Albania,ALB,2024,18919.807,Europe,2023,2024
Algeria,DZA,2024,15442.124,Africa,2023,2024
Andorra,AND,2024,65928.305,Europe,2023,2024
Angola,AGO,2024,7344.1455,Africa,2023,2024
Antigua and Barbuda,ATG,2024,29561.807,North America,2023,2024
Argentina,ARG,2024,26547.05,South America,2023,2024
Armenia,ARM,2024,20078.785,Asia,2023,2024
Australia,AUS,2024,60082.004,Oceania,2023,2024
Austria,AUT,2024,63314.46,Europe,2023,2024
Azerbaijan,AZE,2024,22072.105,Asia,2023,2024
Bahamas,BHS,2024,36244.035,North America,2023,2024
Bahrain,BHR,2024,59129.14,Asia,2023,2024
Bangladesh,BGD,2024,8486.785,Asia,2023,2024
Barbados,BRB,2024,19945.736,North America,2023,2024
Belarus,BLR,2024,29037.53,Europe,2023,2024
Belgium,BEL,2024,63083.184,Europe,2023,2024
Belize,BLZ,2024,13277.936,North America,2023,2024
Benin,BEN,2024,3901.326,Africa,2023,2024
Bhutan,,,14645.266,,,2023
Bolivia,BOL,2024,9844.276,South America,2023,2024
Bosnia and Herzegovina,BIH,2024,20428.525,Europe,2023,2024
Botswana,BWA,2024,18068.506,Africa,2023,2024
Brazil,BRA,2024,19647.91,South America,2023,2024
Brunei,BRN,2024,79184.09,Asia,2023,2024
Bulgaria,BGR,2024,34083.234,Europe,2023,2024
Burkina Faso,BFA,2024,2547.9326,Africa,2023,2024
Burundi,BDI,2024,835.62085,Africa,2023,2024
Cambodia,KHM,2024,7011.5815,Asia,2023,2024
Cameroon,CMR,2024,4919.1416,Africa,2023,2024
Canada,CAN,2024,56691.906,North America,2023,2024
Cape Verde,CPV,2024,9907.589,Africa,2023,2024
Central African Republic,CAF,2024,1111.6533,Africa,2023,2024
Chad,TCD,2024,2605.7717,Africa,2023,2024
Chile,CHL,2024,30182.787,South America,2023,2024
China,CHN,2024,23845.62,Asia,2023,2024
Colombia,COL,2024,18503.67,South America,2023,2024
Comoros,COM,2024,3567.514,Africa,2023,2024
Congo,COG,2024,6181.4707,Africa,2023,2024
Costa Rica,CRI,2024,26973.436,North America,2023,2024
Cote d'Ivoire,CIV,2024,6733.154,Africa,2023,2024
Croatia,HRV,2024,42631.316,Europe,2023,2024
Cyprus,CYP,2024,53252.46,Europe,2023,2024
Czechia,CZE,2024,47961.81,Europe,2023,2024
Democratic Republic of Congo,COD,2024,1504.1438,Africa,2023,2024
Denmark,DNK,2024,73709,Europe,2023,2024
Djibouti,DJI,2024,6841.1665,Africa,2023,2024
Dominica,DMA,2024,18739.363,North America,2023,2024
Dominican Republic,DOM,2024,24229.469,North America,2023,2024
East Timor,TLS,2024,4186.215,Asia,2023,2024
Ecuador,ECU,2024,13935.539,South America,2023,2024
Egypt,EGY,2024,16798.152,Africa,2023,2024
El Salvador,SLV,2024,11669.082,North America,2023,2024
Equatorial Guinea,GNQ,2024,15454.429,Africa,2023,2024
Estonia,EST,2024,41546.12,Europe,2023,2024
Eswatini,SWZ,2024,10367.269,Africa,2023,2024
Ethiopia,ETH,2024,2884.2646,Africa,2023,2024
Fiji,FJI,2024,14104.443,Oceania,2023,2024
Finland,FIN,2024,55628.68,Europe,2023,2024
France,FRA,2024,54464.98,Europe,2023,2024
Gabon,GAB,2024,18923.09,Africa,2023,2024
Gambia,GMB,2024,3030.974,Africa,2023,2024
Georgia,GEO,2024,25000.633,Asia,2023,2024
Germany,DEU,2024,62829.797,Europe,2023,2024
Ghana,GHA,2024,7061.934,Africa,2023,2024
Greece,GRC,2024,37752.633,Europe,2023,2024
Greenland,,,71037.54,,,2023
Grenada,GRD,2024,17742.176,North America,2023,2024
Guatemala,GTM,2024,12640.887,North America,2023,2024
Guinea,GIN,2024,4028.4834,Africa,2023,2024
Guinea-Bissau,GNB,2024,2685.6174,Africa,2023,2024
Guyana,GUY,2024,70297.41,South America,2023,2024
Haiti,HTI,2024,2800.6611,North America,2023,2024
Honduras,HND,2024,6585.8555,North America,2023,2024
Hungary,HUN,2024,40702.152,Europe,2023,2024
Iceland,ISL,2024,65645.09,Europe,2023,2024
India,IND,2024,9817.071,Asia,2023,2024
Indonesia,IDN,2024,14470.4375,Asia,2023,2024
Iran,IRN,2024,16224.035,Asia,2023,2024
Iraq,IRQ,2024,12725.043,Asia,2023,2024
Ireland,IRL,2024,115337.164,Europe,2023,2024
Israel,ISR,2024,47338.844,Asia,2023,2024
Italy,ITA,2024,53115.137,Europe,2023,2024
Jamaica,JAM,2024,10259.995,North America,2023,2024
Japan,JPN,2024,46097.43,Asia,2023,2024
Jordan,JOR,2024,9520.251,Asia,2023,2024
Kazakhstan,KAZ,2024,35905.44,Asia,2023,2024
Kenya,KEN,2024,5823.4077,Africa,2023,2024
Kiribati,KIR,2024,3257.1362,Oceania,2023,2024
Kosovo,OWID_KOS,2024,16380.868,Europe,2023,2024
Kuwait,KWT,2024,45426.945,Asia,2023,2024
Kyrgyzstan,KGZ,2024,7046.31,Asia,2023,2024
Laos,LAO,2024,8610.901,Asia,2023,2024
Latvia,LVA,2024,38936.047,Europe,2023,2024
Lebanon,,,11330.269,,,2023
Lesotho,LSO,2024,2637.9165,Africa,2023,2024
Liberia,LBR,2024,1658.26,Africa,2023,2024
Libya,LBY,2024,12275.91,Africa,2023,2024
Lithuania,LTU,2024,47169.008,Europe,2023,2024
Luxembourg,LUX,2024,128181.7,Europe,2023,2024
Madagascar,MDG,2024,1657.0497,Africa,2023,2024
Malawi,MWI,2024,1635.8569,Africa,2023,2024
Malaysia,MYS,2024,34071.945,Asia,2023,2024
Maldives,MDV,2024,23351.055,Asia,2023,2024
Mali,MLI,2024,2910.8154,Africa,2023,2024
Malta,MLT,2024,60469.78,Europe,2023,2024
Marshall Islands,MHL,2024,7212.3345,Oceania,2023,2024
Mauritania,MRT,2024,6396.991,Africa,2023,2024
Mauritius,MUS,2024,27317.186,Africa,2023,2024
Mexico,MEX,2024,22033.275,North America,2023,2024
Micronesia (country),FSM,2024,3823.604,Oceania,2023,2024
Moldova,MDA,2024,16465.928,Europe,2023,2024
Mongolia,MNG,2024,16801.307,Asia,2023,2024
Montenegro,MNE,2024,27852.041,Europe,2023,2024
Morocco,MAR,2024,9065.914,Africa,2023,2024
Mozambique,MOZ,2024,1495.3224,Africa,2023,2024
Myanmar,MMR,2024,5276.2944,Asia,2023,2024
Namibia,NAM,2024,10281.336,Africa,2023,2024
Nauru,NRU,2024,12604.0625,Oceania,2023,2024
Nepal,NPL,2024,5046.816,Asia,2023,2024
Netherlands,NLD,2024,70901.836,Europe,2023,2024
New Zealand,NZL,2024,48162.86,Oceania,2023,2024
Nicaragua,NIC,2024,7661.602,North America,2023,2024
Niger,NER,2024,1772.7245,Africa,2023,2024
Nigeria,NGA,2024,5665.4517,Africa,2023,2024
North Macedonia,MKD,2024,24463.984,Europe,2023,2024
Norway,NOR,2024,91108.234,Europe,2023,2024
Oman,OMN,2024,36654.23,Asia,2023,2024
Pakistan,PAK,2024,5530.996,Asia,2023,2024
Palau,,,15796.535,,,2023
Palestine,PSE,2024,3845.503,Asia,2023,2024
Panama,PAN,2024,36426.008,North America,2023,2024
Papua New Guinea,PNG,2024,4300.726,Oceania,2023,2024
Paraguay,PRY,2024,16296.283,South America,2023,2024
Peru,PER,2024,15661.75,South America,2023,2024
Philippines,PHL,2024,10375.94,Asia,2023,2024
Poland,POL,2024,45112.598,Europe,2023,2024
Portugal,PRT,2024,41883.85,Europe,2023,2024
Puerto Rico,PRI,2024,44124.54,North America,2023,2024
Qatar,QAT,2024,110945.88,Asia,2023,2024
Romania,ROU,2024,40608.418,Europe,2023,2024
Russia,RUS,2024,41704.71,Europe,2023,2024
Rwanda,RWA,2024,3264.6445,Africa,2023,2024
Saint Kitts and Nevis,KNA,2024,31270.69,North America,2023,2024
Saint Lucia,LCA,2024,24252.469,North America,2023,2024
Saint Vincent and the Grenadines,VCT,2024,18714.2,North America,2023,2024
Samoa,WSM,2024,6894.8896,Oceania,2023,2024
San Marino,,,70887.57,,,2022
Sao Tome and Principe,STP,2024,5480.435,Africa,2023,2024
Saudi Arabia,SAU,2024,62676.7,Asia,2023,2024
Senegal,SEN,2024,4495.895,Africa,2023,2024
Serbia,SRB,2024,26884.463,Europe,2023,2024
Seychelles,SYC,2024,29241.775,Africa,2023,2024
Sierra Leone,SLE,2024,3092.8306,Africa,2023,2024
Singapore,SGP,2024,132569.53,Asia,2023,2024
Slovakia,SVK,2024,40346.574,Europe,2023,2024
Slovenia,SVN,2024,48495.89,Europe,2023,2024
Solomon Islands,SLB,2024,2527.075,Oceania,2023,2024
Somalia,SOM,2024,1408.2783,Africa,2023,2024
South Africa,ZAF,2024,13598.789,Africa,2023,2024
South Korea,,,50414.207,,,2023
Spain,ESP,2024,48373.047,Europe,2023,2024
Sri Lanka,LKA,2024,13752.837,Asia,2023,2024
Sudan,SDN,2024,1871.5891,Africa,2023,2024
Suriname,SUR,2024,19413.297,South America,2023,2024
Sweden,SWE,2024,63258.906,Europe,2023,2024
