Entity,Code,Year,"Homicide rate per 100,000 population - sex: Total - age: Total",World regions according to OWID,time,time
Afghanistan,,,4.0324583,,,2021
Albania,ALB,2024,1.7551677,Europe,2023,2024
Algeria,,,1.1610724,,,2023
Andorra,,,2.5846472,,,2020
Angola,,,,,,2024
Antigua and Barbuda,,,10.716333,,,2023
Argentina,,,4.4929113,,,2023
Armenia,,,2.2083356,,,2023
Australia,,,0.85440606,,,2023
Austria,,,0.876191,,,2023
Azerbaijan,AZE,2024,1.9929228,Asia,2023,2024
Bahamas,,,32.19814,,,2022
Bahrain,,,0.19563614,,,2022
Bangladesh,,,,,,2024
Barbados,,,15.231051,,,2022
Belarus,,,2.3846316,,,2019
Belgium,,,1.0803015,,,2021
Belize,,,28.058292,,,2022
Bhutan,,,2.4675133,,,2020
Bolivia,,,4.418433,,,2023
Bosnia and Herzegovina,,,1.2244617,,,2023
Botswana,,,11.368176,,,2021
Brazil,,,20.575377,,,2023
Brunei,,,,,,2024
Bulgaria,,,1.0889074,,,2023
Burundi,,,,,,2024
Cambodia,,,,,,2024
Cameroon,,,6.7600894,,,2022
Canada,,,1.9796889,,,2023
Cape Verde,,,6.994644,,,2020
Chile,,,6.348291,,,2023
China,,,0.5018561,,,2020
Colombia,,,24.913443,,,2023
Costa Rica,,,17.74548,,,2023
Croatia,,,0.66734713,,,2023
Cuba,,,4.4631515,,,2019
Cyprus,CYP,2024,0.9570879,Europe,2023,2024
Czechia,,,0.76782775,,,2023
Denmark,,,0.8405994,,,2023
Dominica,,,28.431835,,,2022
Dominican Republic,,,10.9166975,,,2023
East Timor,,,,,,2024
Ecuador,,,45.722813,,,2023
Egypt,,,,,,2024
El Salvador,,,7.897688,,,2022
Eritrea,,,,,,2024
Estonia,,,1.5359905,,,2023
Eswatini,,,12.514571,,,2021
Ethiopia,,,,,,2024
Fiji,,,2.0559533,,,2023
Finland,,,0.98193496,,,2023
France,FRA,2024,1.3478885,Europe,2023,2024
French Guiana,,,13.38809,,,2020
Georgia,,,2.028065,,,2019
Germany,,,0.9107228,,,2023
Ghana,,,1.8311177,,,2022
Greece,,,0.8396053,,,2023
Greenland,,,,,,2024
Grenada,,,13.665752,,,2023
Guatemala,,,23.365726,,,2023
Guinea-Bissau,,,,,,2024
Guyana,,,19.120157,,,2023
Haiti,,,41.15181,,,2023
Honduras,,,31.442432,,,2023
Hungary,,,0.722658,,,2023
Iceland,,,1.2901311,,,2023
India,,,2.8153043,,,2022
Indonesia,,,0.30376875,,,2022
Iran,,,,,,2024
Iraq,,,,,,2024
Ireland,,,0.6542702,,,2023
Israel,,,1.6258106,,,2022
Italy,,,0.56807244,,,2023
Jamaica,,,49.299488,,,2023
Japan,,,0.2291532,,,2023
Jordan,,,0.98783016,,,2023
Kazakhstan,,,2.5505862,,,2022
Kenya,,,4.8716683,,,2022
Kiribati,,,,,,2024
Kosovo,,,1.8949775,,,2021
Kuwait,,,0.24999182,,,2020
Latvia,,,2.4968178,,,2023
Lebanon,,,2.24467,,,2020
Lesotho,,,,,,2024
Liberia,,,,,,2024
Liechtenstein,,,5.122426,,,2021
Lithuania,,,2.6277995,,,2023
Luxembourg,,,1.5306611,,,2022
Malawi,,,,,,2024
Malaysia,,,0.7344924,,,2023
Maldives,,,0.6150932,,,2019
Malta,,,0.5628983,,,2023
Marshall Islands,,,,,,2024
Mauritania,,,0.9999715,,,2020
Mauritius,,,2.2724967,,,2022
Mexico,,,24.858995,,,2023
Micronesia (country),,,0.9067663,,,2019
Moldova,,,2.5431437,,,2023
Monaco,,,,,,2024
Mongolia,MNG,2024,5.63941,Asia,2023,2024
Montenegro,,,0.7892012,,,2023
Morocco,MAR,2024,1.6674905,Africa,2023,2024
Mozambique,,,,,,2024
Myanmar,,,2.5751011,,,2023
Namibia,,,11.207781,,,2021
Nepal,,,2.1300414,,,2020
Netherlands,,,0.69089305,,,2023
New Caledonia,,,,,,2024
New Zealand,,,1.4614942,,,2022
Nicaragua,,,11.34732,,,2021
Niger,,,,,,2024
Nigeria,,,15.746681,,,2023
North Macedonia,,,1.5285499,,,2023
Norway,,,0.72474706,,,2023
Oman,,,0.13863392,,,2023
Pakistan,,,4.334871,,,2023
Palau,,,,,,2024
Palestine,,,0.622023,,,2022
Panama,,,12.469837,,,2023
Papua New Guinea,,,,,,2024
Paraguay,,,6.779516,,,2023
Peru,,,8.604808,,,2021
Philippines,,,4.3475914,,,2023
Poland,,,0.8023147,,,2023
Portugal,,,0.71997195,,,2022
Puerto Rico,PRI,2024,15.082295,North America,2023,2024
Qatar,,,0.06914541,,,2022
Romania,ROU,2024,1.1201626,Europe,2023,2024
Russia,RUS,2024,7.8214107,Europe,2023,2024
Rwanda,,,3.6124742,,,2020
Saint Kitts and Nevis,,,23.549812,,,2022
Saint Lucia,,,39.04409,,,2023
Saint Vincent and the Grenadines,,,41.15791,,,2022
Samoa,,,,,,2024
San Marino,,,,,,2024
Sao Tome and Principe,,,,,,2024
Saudi Arabia,,,0.93525994,,,2019
Serbia,,,1.314002,,,2023
Seychelles,,,7.966699,,,2022
Sierra Leone,,,2.2243123,,,2020
Singapore,,,0.06909549,,,2023
Slovakia,,,1.1235844,,,2023
Slovenia,,,0.56646633,,,2023
Solomon Islands,,,,,,2024
South Africa,,,43.720257,,,2022
South Korea,,,0.4773063,,,2023
South Sudan,,,,,,2024
Spain,,,0.690856,,,2023
Sri Lanka,,,3.3109403,,,2019
Suriname,,,6.5194645,,,2023
Sweden,,,1.146757,,,2023
Switzerland,,,0.59748197,,,2023
Syria,,,,,,2024
Tajikistan,,,0.8923708,,,2020
Tanzania,,,3.749213,,,2020
Thailand,,,,,,2024
Tonga,,,0.9463469,,,2019
Trinidad and Tobago,,,40.4433,,,2022
Tunisia,,,4.69348,,,2020
Turkey,,,3.2278948,,,2023
Turkmenistan,,,,,,2024
Tuvalu,,,0,,,2019
Uganda,,,8.973088,,,2023
Ukraine,,,3.7766397,,,2021
United Arab Emirates,,,0.6932181,,,2022
United Kingdom,,,1.1186842,,,2021
United States,,,5.7634077,,,2023
Uruguay,,,11.245305,,,2023
Uzbekistan,,,1.3987976,,,2021
Vanuatu,,,0.3346065,,,2020
Venezuela,,,12.646645,,,2022
Vietnam,,,,,,2024
Yemen,,,,,,2024
Zambia,,,,,,2024
Zimbabwe,,,6.7583313,,,2022
