Entity,Code,Year,Land area (sq. km),time
Afghanistan,AFG,2022,652230,2022
Albania,ALB,2022,27400,2022
Algeria,DZA,2022,2381741,2022
Andorra,AND,2022,470,2022
Angola,AGO,2022,1246700,2022
Antigua and Barbuda,ATG,2022,440,2022
Argentina,ARG,2022,2736690,2022
Armenia,ARM,2022,28470,2022
Australia,AUS,2022,7692020,2022
Austria,AUT,2022,82520,2022
Azerbaijan,AZE,2022,82650,2022
Bahamas,BHS,2022,10010,2022
Bahrain,BHR,2022,790,2022
Bangladesh,BGD,2022,130170,2022
Barbados,BRB,2022,430,2022
Belarus,BLR,2022,202990,2022
Belgium,BEL,2022,30494,2022
Belize,BLZ,2022,22810,2022
Benin,BEN,2022,112760,2022
Bhutan,BTN,2022,38140,2022
Bolivia,BOL,2022,1083300,2022
Bosnia and Herzegovina,BIH,2022,51200,2022
Botswana,BWA,2022,566730,2022
Brazil,BRA,2022,8358140,2022
Brunei,BRN,2022,5270,2022
Bulgaria,BGR,2022,108560,2022
Burkina Faso,BFA,2022,273600,2022
Burundi,BDI,2022,25680,2022
Cambodia,KHM,2022,176520,2022
Cameroon,CMR,2022,472710,2022
Canada,CAN,2022,8788700,2022
Cape Verde,CPV,2022,4030,2022
Central African Republic,CAF,2022,622980,2022
Chad,TCD,2022,1259200,2022
Chile,CHL,2022,743532,2022
China,CHN,2022,9388210,2022
Colombia,COL,2022,1109500,2022
Comoros,COM,2022,1861,2022
Congo,COG,2022,341500,2022
Costa Rica,CRI,2022,51060,2022
Cote d'Ivoire,CIV,2022,318000,2022
Croatia,HRV,2022,55960,2022
Cuba,CUB,2022,103800,2022
Cyprus,CYP,2022,9240,2022
Czechia,CZE,2022,77171.73,2022
Democratic Republic of Congo,COD,2022,2267050,2022
Denmark,DNK,2022,40000,2022
Djibouti,DJI,2022,23180,2022
Dominica,DMA,2022,750,2022
Dominican Republic,DOM,2022,48198.02,2022
East Timor,TLS,2022,14870,2022
Ecuador,ECU,2022,248360,2022
Egypt,EGY,2022,995450,2022
El Salvador,SLV,2022,20720,2022
Equatorial Guinea,GNQ,2022,28050,2022
Eritrea,ERI,2022,121040.83,2022
Estonia,EST,2022,42730,2022
Eswatini,SWZ,2022,17200,2022
Ethiopia,ETH,2022,1128571.4,2022
Fiji,FJI,2022,18270,2022
Finland,FIN,2022,303947.7,2022
France,FRA,2022,547557,2022
Gabon,GAB,2022,257670,2022
Gambia,GMB,2022,10120,2022
Georgia,GEO,2022,69490,2022
Germany,DEU,2022,349360,2022
Ghana,GHA,2022,227533,2022
Greece,GRC,2022,128900,2022
Greenland,GRL,2022,410450,2022
Grenada,GRD,2022,340,2022
Guatemala,GTM,2022,107160,2022
Guinea,GIN,2022,245720,2022
Guinea-Bissau,GNB,2022,28120,2022
Guyana,GUY,2022,196850,2022
Haiti,HTI,2022,27560,2022
Honduras,HND,2022,111890,2022
Hungary,HUN,2022,91260,2022
Iceland,ISL,2022,100830,2022
India,IND,2022,2973190,2022
Indonesia,IDN,2022,1892555.5,2022
Iran,IRN,2022,1622500,2022
Iraq,IRQ,2022,434128,2022
Ireland,IRL,2022,68890,2022
Italy,ITA,2022,295720,2022
Jamaica,JAM,2022,10830,2022
Japan,JPN,2022,364500,2022
Jordan,JOR,2022,88794,2022
Kazakhstan,KAZ,2022,2699700,2022
Kenya,KEN,2022,569140,2022
Kiribati,KIR,2022,810,2022
Kuwait,KWT,2022,17820,2022
Kyrgyzstan,KGZ,2022,191800,2022
Laos,LAO,2022,230800,2022
Latvia,LVA,2022,62230,2022
Lebanon,LBN,2022,10230,2022
Lesotho,LSO,2022,30360,2022
Liberia,LBR,2022,96320,2022
Libya,LBY,2022,1759540,2022
Liechtenstein,LIE,2022,160,2022
Lithuania,LTU,2022,62604,2022
Luxembourg,LUX,2022,2574.46,2022
Madagascar,MDG,2022,581800,2022
Malawi,MWI,2022,94280,2022
Malaysia,MYS,2022,328550,2022
Maldives,MDV,2022,300,2022
Mali,MLI,2022,1220190,2022
Malta,MLT,2022,320,2022
Marshall Islands,MHL,2022,180,2022
Mauritania,MRT,2022,1030700,2022
Mauritius,MUS,2022,1997,2022
Mexico,MEX,2022,1943950,2022
Micronesia (country),FSM,2022,700,2022
Moldova,MDA,2022,32890,2022
Monaco,MCO,2022,2.084,2022
Mongolia,MNG,2022,1557506.8,2022
Montenegro,MNE,2022,13450,2022
Morocco,MAR,2022,446300,2022
Mozambique,MOZ,2022,786380,2022
Myanmar,MMR,2022,652670,2022
Namibia,NAM,2022,823290,2022
Nauru,NRU,2022,20,2022
Nepal,NPL,2022,143350,2022
Netherlands,NLD,2022,33670,2022
New Caledonia,NCL,2022,18280,2022
New Zealand,NZL,2022,263310,2022
Nicaragua,NIC,2022,120340,2022
Niger,NER,2022,1266700,2022
Nigeria,NGA,2022,910770,2022
North Korea,PRK,2022,120410,2022
North Macedonia,MKD,2022,25220,2022
Norway,NOR,2022,364270,2022
Oman,OMN,2022,309500,2022
Pakistan,PAK,2022,770880,2022
Palau,PLW,2022,460,2022
Panama,PAN,2022,74180,2022
Papua New Guinea,PNG,2022,452860,2022
Paraguay,PRY,2022,396012.03,2022
Peru,PER,2022,1280000,2022
Philippines,PHL,2022,298170,2022
Poland,POL,2022,306090,2022
Portugal,PRT,2022,91605.6,2022
Puerto Rico,PRI,2022,8870,2022
Qatar,QAT,2022,11490,2022
Romania,ROU,2022,230080,2022
Russia,RUS,2022,16376870,2022
Rwanda,RWA,2022,24670,2022
Saint Kitts and Nevis,KNA,2022,260,2022
Saint Lucia,LCA,2022,610,2022
Saint Vincent and the Grenadines,VCT,2022,390,2022
Samoa,WSM,2022,2780,2022
San Marino,SMR,2022,60,2022
Sao Tome and Principe,STP,2022,960,2022
Saudi Arabia,SAU,2022,2149690,2022
Senegal,SEN,2022,192530,2022
Serbia,SRB,2022,84090,2022
Seychelles,SYC,2022,460,2022
Sierra Leone,SLE,2022,72180,2022
Singapore,SGP,2022,718,2022
Slovakia,SVK,2022,48080,2022
Slovenia,SVN,2022,20136.4,2022
Solomon Islands,SLB,2022,27990,2022
Somalia,SOM,2022,627340,2022
South Africa,ZAF,2022,1213090,2022
South Korea,KOR,2022,97600,2022
South Sudan,SSD,2022,631930,2022
Spain,ESP,2022,499713.7,2022
Sri Lanka,LKA,2022,61860,2022
Sudan,SDN,2022,1868000,2022
Suriname,SUR,2022,160507.61,2022
Sweden,SWE,2022,407280,2022
Switzerland,CHE,2022,39509.63,2022
Syria,SYR,2022,185179.7,2022
Tajikistan,TJK,2022,138790,2022
Tanzania,TZA,2022,885800,2022
Thailand,THA,2022,510890,2022
Togo,TGO,2022,54390,2022
Tonga,TON,2022,720,2022
Trinidad and Tobago,TTO,2022,5130,2022
Tunisia,TUN,2022,155360,2022
Turkey,TUR,2022,769630,2022
Turkmenistan,TKM,2022,469930,2022
Tuvalu,TUV,2022,30,2022
Uganda,UGA,2022,200520,2022
Ukraine,UKR,2022,579400,2022
United Arab Emirates,ARE,2022,71020,2022
United Kingdom,GBR,2022,241930,2022
United States,USA,2022,9147420,2022
Uruguay,URY,2022,175020,2022
Uzbekistan,UZB,2022,440652,2022
Vanuatu,VUT,2022,12190,2022
Venezuela,VEN,2022,882050,2022
Vietnam,VNM,2022,313429,2022
Yemen,YEM,2022,527970,2022
Zambia,ZMB,2022,743390,2022
Zimbabwe,ZWE,2022,386850,2022
