Entity,Code,Year,Combined - average years of education for 15-64 years male and female youth and adults,time
Afghanistan,AFG,2020,5.69,2020
Albania,ALB,2020,10.32,2020
Algeria,DZA,2020,8.18,2020
Argentina,ARG,2020,9.86,2020
Armenia,ARM,2020,10.54,2020
Australia,AUS,2020,12.93,2020
Austria,AUT,2020,10.39,2020
Bahrain,BHR,2020,8.21,2020
Bangladesh,BGD,2020,7.23,2020
Barbados,BRB,2020,9.67,2020
Belgium,BEL,2020,11.57,2020
Belize,BLZ,2020,10.71,2020
Benin,BEN,2020,6.27,2020
Bolivia,BOL,2020,9.06,2020
Botswana,BWA,2020,10.58,2020
Brazil,BRA,2020,8,2020
Brunei,BRN,2020,9.28,2020
Bulgaria,BGR,2020,10.75,2020
Burundi,BDI,2020,5.05,2020
Cambodia,KHM,2020,5.81,2020
Cameroon,CMR,2020,7.37,2020
Canada,CAN,2020,12.93,2020
Central African Republic,CAF,2020,4.64,2020
Chile,CHL,2020,10.74,2020
China,CHN,2020,8.99,2020
Colombia,COL,2020,10.2,2020
Congo,COG,2020,6.74,2020
Costa Rica,CRI,2020,9.12,2020
Cote d'Ivoire,CIV,2020,6.05,2020
Croatia,HRV,2020,12.03,2020
Cuba,CUB,2020,11.61,2020
Cyprus,CYP,2020,12.42,2020
Czechia,CZE,2020,12.93,2020
Democratic Republic of Congo,COD,2020,4.85,2020
Denmark,DNK,2020,11.69,2020
Dominican Republic,DOM,2020,9.04,2020
Ecuador,ECU,2020,9.07,2020
Egypt,EGY,2020,8.01,2020
El Salvador,SLV,2020,8.1,2020
Estonia,EST,2020,12.29,2020
Eswatini,SWZ,2020,6.46,2020
Fiji,FJI,2020,11.52,2020
Finland,FIN,2020,11.05,2020
France,FRA,2020,11.89,2020
Gabon,GAB,2020,10.18,2020
Gambia,GMB,2020,4.92,2020
Germany,DEU,2020,13.1,2020
Ghana,GHA,2020,8.39,2020
Greece,GRC,2020,11.86,2020
Guatemala,GTM,2020,6.26,2020
Guyana,GUY,2020,8.52,2020
Haiti,HTI,2020,5.95,2020
Honduras,HND,2020,7.51,2020
Hungary,HUN,2020,11.96,2020
Iceland,ISL,2020,13.53,2020
India,IND,2020,7.8,2020
Indonesia,IDN,2020,9.06,2020
Iran,IRN,2020,9.8,2020
Iraq,IRQ,2020,8.27,2020
Ireland,IRL,2020,13.74,2020
Israel,ISR,2020,12.04,2020
Italy,ITA,2020,11.51,2020
Jamaica,JAM,2020,10.1,2020
Japan,JPN,2020,12.83,2020
Jordan,JOR,2020,10.81,2020
Kazakhstan,KAZ,2020,11.79,2020
Kenya,KEN,2020,6.73,2020
Kuwait,KWT,2020,6.62,2020
Kyrgyzstan,KGZ,2020,11.18,2020
Laos,LAO,2020,6.05,2020
Latvia,LVA,2020,11.96,2020
Lesotho,LSO,2020,6.88,2020
Liberia,LBR,2020,5.8,2020
Libya,LBY,2020,9.57,2020
Lithuania,LTU,2020,12.5,2020
Luxembourg,LUX,2020,11.53,2020
Malawi,MWI,2020,5.41,2020
Malaysia,MYS,2020,11.96,2020
Maldives,MDV,2020,8.06,2020
Mali,MLI,2020,3.55,2020
Malta,MLT,2020,12.09,2020
Mauritania,MRT,2020,5.55,2020
Mauritius,MUS,2020,10.4,2020
Mexico,MEX,2020,10.18,2020
Moldova,MDA,2020,10.84,2020
Mongolia,MNG,2020,10,2020
Morocco,MAR,2020,6.83,2020
Mozambique,MOZ,2020,4.22,2020
Myanmar,MMR,2020,6.48,2020
Namibia,NAM,2020,6.88,2020
Nepal,NPL,2020,6.19,2020
Netherlands,NLD,2020,11.82,2020
New Zealand,NZL,2020,10.81,2020
Nicaragua,NIC,2020,7.76,2020
Niger,NER,2020,3.04,2020
Norway,NOR,2020,12.08,2020
Pakistan,PAK,2020,6.41,2020
Panama,PAN,2020,10.44,2020
Papua New Guinea,PNG,2020,4.84,2020
Paraguay,PRY,2020,8.83,2020
Peru,PER,2020,9.96,2020
Philippines,PHL,2020,9.44,2020
Poland,POL,2020,12.01,2020
Portugal,PRT,2020,9.56,2020
Qatar,QAT,2020,8.52,2020
Romania,ROU,2020,11.28,2020
Russia,RUS,2020,11.6,2020
Rwanda,RWA,2020,5.24,2020
Saudi Arabia,SAU,2020,9.86,2020
Senegal,SEN,2020,4.4,2020
Serbia,SRB,2020,11.72,2020
Sierra Leone,SLE,2020,4.99,2020
Singapore,SGP,2020,13.06,2020
Slovakia,SVK,2020,13.14,2020
Slovenia,SVN,2020,12.06,2020
South Africa,ZAF,2020,10.47,2020
South Korea,KOR,2020,13.68,2020
Spain,ESP,2020,11.51,2020
Sri Lanka,LKA,2020,10.33,2020
Sudan,SDN,2020,4.38,2020
Sweden,SWE,2020,11.93,2020
Switzerland,CHE,2020,12.97,2020
Syria,SYR,2020,7.92,2020
Taiwan,TWN,2020,12.76,2020
Tajikistan,TJK,2020,10.12,2020
Tanzania,TZA,2020,6.87,2020
Thailand,THA,2020,9.32,2020
Togo,TGO,2020,7.68,2020
Tonga,TON,2020,11.42,2020
Trinidad and Tobago,TTO,2020,11.28,2020
Tunisia,TUN,2020,9.29,2020
Turkey,TUR,2020,8.49,2020
Uganda,UGA,2020,6.69,2020
