Entity,Code,Year,Military expenditure (% of GDP),World regions according to OWID,time,time
Afghanistan,,,1.8279338,,,2021
Albania,ALB,2024,2.0378623,Europe,2023,2024
Algeria,DZA,2024,7.9714575,Africa,2023,2024
Angola,AGO,2024,1.0004921,Africa,2023,2024
Argentina,ARG,2024,0.6183504,South America,2023,2024
Armenia,ARM,2024,5.481749,Asia,2023,2024
Australia,AUS,2024,1.8837883,Oceania,2023,2024
Austria,AUT,2024,0.9998431,Europe,2023,2024
Azerbaijan,AZE,2024,4.9929237,Asia,2023,2024
Bahrain,BHR,2024,2.8946655,Asia,2023,2024
Bangladesh,BGD,2024,0.94132113,Asia,2023,2024
Belarus,BLR,2024,2.0736492,Europe,2023,2024
Belgium,BEL,2024,1.2770531,Europe,2023,2024
Belize,BLZ,2024,0.8988859,North America,2023,2024
Benin,BEN,2024,0.7205496,Africa,2023,2024
Bolivia,BOL,2024,1.3706636,South America,2023,2024
Bosnia and Herzegovina,BIH,2024,0.7470799,Europe,2023,2024
Botswana,BWA,2024,2.8339279,Africa,2023,2024
Brazil,BRA,2024,0.9727745,South America,2023,2024
Brunei,BRN,2024,3.577816,Asia,2023,2024
Bulgaria,BGR,2024,2.1494734,Europe,2023,2024
Burkina Faso,BFA,2024,4.679732,Africa,2023,2024
Burundi,BDI,2024,3.801279,Africa,2023,2024
Cambodia,KHM,2024,1.5206646,Asia,2023,2024
Cameroon,CMR,2024,1.0091276,Africa,2023,2024
Canada,CAN,2024,1.3130342,North America,2023,2024
Cape Verde,CPV,2024,0.6239034,Africa,2023,2024
Central African Republic,CAF,2024,2.5196912,Africa,2023,2024
Chad,TCD,2024,2.98485,Africa,2023,2024
Chile,CHL,2024,1.5778039,South America,2023,2024
China,CHN,2024,1.7112974,Asia,2023,2024
Colombia,COL,2024,3.3590336,South America,2023,2024
Congo,COG,2024,1.1859612,Africa,2023,2024
Cote d'Ivoire,CIV,2024,0.762359,Africa,2023,2024
Croatia,HRV,2024,1.7932342,Europe,2023,2024
Cuba,,,,,,2024
Cyprus,CYP,2024,1.6473522,Europe,2023,2024
Czechia,CZE,2024,1.9168085,Europe,2023,2024
Democratic Republic of Congo,COD,2024,1.2285527,Africa,2023,2024
Denmark,DNK,2024,2.4161744,Europe,2023,2024
Djibouti,,,,,,2024
Dominican Republic,DOM,2024,0.7824201,North America,2023,2024
East Timor,TLS,2024,2.6641567,Asia,2023,2024
Ecuador,ECU,2024,2.2219477,South America,2023,2024
Egypt,EGY,2024,0.6652636,Africa,2023,2024
El Salvador,SLV,2024,1.1861192,North America,2023,2024
Equatorial Guinea,GNQ,2024,0.98218584,Africa,2023,2024
Eritrea,,,,,,2024
Estonia,EST,2024,3.3740022,Europe,2023,2024
