Entity,Code,Year,Primary energy consumption per capita (kWh/person),time
Afghanistan,,,990.46967,2023
Albania,,,8032.0703,2023
Algeria,DZA,2024,16237.188,2024
Angola,,,2680.3416,2023
Antigua and Barbuda,,,32266.113,2023
Argentina,ARG,2024,21513.947,2024
Armenia,,,16027.844,2023
Australia,AUS,2024,62595.04,2024
Austria,AUT,2024,45208.31,2024
Azerbaijan,AZE,2024,20137.387,2024
Bahamas,,,30598.396,2023
Bahrain,,,164932.52,2023
Bangladesh,BGD,2024,3048.3135,2024
Barbados,,,20013.902,2023
Belarus,BLR,2024,34632.566,2024
Belgium,BEL,2024,54870.88,2024
Belize,,,9012.318,2023
Benin,,,1896.6274,2023
Bhutan,,,18780.541,2023
Bolivia,,,8598.6455,2023
Bosnia and Herzegovina,,,26735.992,2023
Botswana,,,9508.218,2023
Brazil,BRA,2024,18486.229,2024
Brunei,,,118211.914,2023
Bulgaria,BGR,2024,28381.64,2024
Burkina Faso,,,1020.26306,2023
Burundi,,,277.14117,2023
Cambodia,,,4590.6875,2023
Cameroon,,,1251.8386,2023
Canada,CAN,2024,97784.54,2024
Cape Verde,,,5861.1255,2023
Central African Republic,,,279.59027,2023
Chad,,,440.09256,2023
Chile,CHL,2024,26245.264,2024
China,CHN,2024,34514.457,2024
Colombia,COL,2024,11645.494,2024
Comoros,,,2092.1536,2023
Congo,,,2154.2866,2023
Costa Rica,,,9004.632,2023
Cote d'Ivoire,,,2488.0098,2023
Croatia,HRV,2024,26615.488,2024
Cuba,,,7640.304,2023
Cyprus,CYP,2024,24551.195,2024
Czechia,CZE,2024,36589.773,2024
Democratic Republic of Congo,,,382.4757,2023
Denmark,DNK,2024,32832.465,2024
Djibouti,,,3056.166,2023
Dominica,,,10662.959,2023
Dominican Republic,,,11526.293,2023
East Timor,,,2000.2352,2023
Ecuador,ECU,2024,12722.083,2024
Egypt,EGY,2024,9660.864,2024
El Salvador,,,7157.062,2023
Equatorial Guinea,,,15974.835,2023
Eritrea,,,872.5426,2023
Estonia,EST,2024,40986.305,2024
Eswatini,,,5516.521,2023
Ethiopia,,,693.36096,2023
Fiji,,,7436.558,2023
Finland,FIN,2024,59564.754,2024
France,FRA,2024,37865.61,2024
French Guiana,,,0,2023
Gabon,,,6477.258,2023
Gambia,,,800.2949,2023
Georgia,,,16434.389,2023
Germany,DEU,2024,37792.51,2024
Ghana,,,3075.1707,2023
Greece,GRC,2024,31965.838,2024
Greenland,,,46980.75,2023
Grenada,,,12220.67,2023
Guatemala,,,5010.241,2023
Guinea,,,1534.3684,2023
Guinea-Bissau,,,689.11017,2023
Guyana,,,13494.394,2023
Haiti,,,1021.7258,2023
Honduras,,,4877.1445,2023
Hungary,HUN,2024,26952.049,2024
Iceland,ISL,2024,159676.39,2024
India,IND,2024,7812.9277,2024
Indonesia,IDN,2024,10528.601,2024
Iran,IRN,2024,39203.61,2024
Iraq,IRQ,2024,16002.357,2024
Ireland,IRL,2024,34593.98,2024
Israel,ISR,2024,29591.316,2024
Italy,ITA,2024,28584.518,2024
Jamaica,,,12336.739,2023
Japan,JPN,2024,38745.04,2024
Jordan,,,9644.626,2023
Kazakhstan,KAZ,2024,41865.195,2024
Kenya,,,1607.9135,2023
Kiribati,,,2513.8413,2023
Kosovo,,,15770.582,2023
Kuwait,KWT,2024,106398.59,2024
Kyrgyzstan,,,8082.865,2023
Laos,,,10100.14,2023
Latvia,LVA,2024,20722.363,2024
Lebanon,,,12632.702,2023
Lesotho,,,2378.8113,2023
Liberia,,,533.9603,2023
Libya,,,29554.363,2023
Lithuania,LTU,2024,25660.39,2024
Luxembourg,LUX,2024,59047.88,2024
Madagascar,,,532.2019,2023
Malawi,,,525.15204,2023
Malaysia,MYS,2024,38865.867,2024
Maldives,,,14912.831,2023
Mali,,,1262.197,2023
Malta,,,71107.69,2023
Mauritania,,,4142.4756,2023
Mauritius,,,17639.248,2023
Mexico,MEX,2024,17653.777,2024
Micronesia (country),,,4428.093,2023
Moldova,,,11903.726,2023
Mongolia,,,19674.547,2023
Montenegro,,,18582.63,2023
Morocco,MAR,2024,7256.846,2024
Mozambique,,,1696.6578,2023
Myanmar,,,2457.1128,2023
Namibia,,,6369.585,2023
Nauru,,,29242.105,2023
Nepal,,,1935.3121,2023
Netherlands,NLD,2024,50824.402,2024
New Caledonia,,,63832.758,2023
New Zealand,NZL,2024,44711.75,2024
Nicaragua,,,3124.2483,2023
Niger,,,519.35846,2023
Nigeria,,,2342.6387,2023
North Korea,,,6983.9766,2023
North Macedonia,MKD,2024,16219.917,2024
Norway,NOR,2024,99634.31,2024
Oman,OMN,2024,84610.64,2024
Pakistan,PAK,2024,3535.5425,2024
Palestine,,,4393.3086,2023
Panama,,,22862.531,2023
Papua New Guinea,,,2573.4968,2023
Paraguay,,,7541.671,2023
Peru,PER,2024,10941.455,2024
Philippines,PHL,2024,5633.132,2024
Poland,POL,2024,29205.824,2024
Portugal,PRT,2024,25921.791,2024
Puerto Rico,,,25288.041,2023
Qatar,QAT,2024,214520.3,2024
Romania,ROU,2024,18694.158,2024
Russia,RUS,2024,62485.312,2024
Rwanda,,,529.7918,2023
Saint Kitts and Nevis,,,23859.037,2023
Saint Lucia,,,13926.932,2023
Saint Vincent and the Grenadines,,,10916.865,2023
Samoa,,,6879.8896,2023
Sao Tome and Principe,,,2600.9995,2023
Saudi Arabia,SAU,2024,96883.31,2024
Senegal,,,2433.2778,2023
Serbia,,,26332.174,2023
Seychelles,,,28967.066,2023
Sierra Leone,,,674.46545,2023
Singapore,SGP,2024,180701.45,2024
Slovakia,SVK,2024,32882.68,2024
Slovenia,SVN,2024,37360.676,2024
Solomon Islands,,,1657.2433,2023
Somalia,,,190.11856,2023
South Africa,ZAF,2024,21286.549,2024
South Korea,KOR,2024,69922.41,2024
South Sudan,,,613.11176,2023
Spain,ESP,2024,33901.656,2024
Sri Lanka,LKA,2024,4819.1953,2024
Sudan,,,1800.9769,2023
Suriname,,,17846.547,2023
Sweden,SWE,2024,57509.574,2024
Switzerland,CHE,2024,38025.83,2024
Syria,,,3976.7585,2023
Taiwan,TWN,2024,54012.633,2024
Tajikistan,,,4745.2627,2023
Tanzania,,,1199.0846,2023
Thailand,THA,2024,19825.014,2024
Togo,,,1329.8417,2023
Tonga,,,6819.3506,2023
Trinidad and Tobago,TTO,2024,105988.44,2024
Tunisia,,,9892.207,2023
Turkey,TUR,2024,23927.826,2024
Turkmenistan,TKM,2024,49524.95,2024
Tuvalu,,,0,2023
Uganda,,,660.0664,2023
Ukraine,UKR,2024,15875.597,2024
United Arab Emirates,ARE,2024,138026.48,2024
United Kingdom,GBR,2024,28015.771,2024
United States,USA,2024,76799.57,2024
Uruguay,,,13409.495,2023
Uzbekistan,UZB,2024,19129.268,2024
Vanuatu,,,3790.5647,2023
Venezuela,VEN,2024,24591.875,2024
Vietnam,VNM,2024,14618.14,2024
Western Sahara,,,2020.2874,2023
Yemen,,,875.5177,2023
Zambia,,,2422.2598,2023
Zimbabwe,,,3181.361,2023
